"state_population","state","raceethnicity","population","numkilled"
4858979,"AL","white",3204076,12
738432,"AK","white",452472,2
6828065,"AZ","white",3802263,12
2978204,"AR","white",2174934,9
39144818,"CA","white",14815122,36
5456574,"CO","white",3737243,15
3590886,"CT","white",2439796,3
945934,"DE","white",596375,1
672228,"DC","white",241855,0
20271272,"FL","white",11170487,27
10214860,"GA","white",5482711,10
1431603,"HI","white",326152,2
1654930,"ID","white",1367034,2
12859995,"IL","white",7948431,8
6619680,"IN","white",5288882,7
3123899,"IA","white",2710477,1
2911641,"KS","white",2223659,6
4425092,"KY","white",3768120,11
4670724,"LA","white",2754976,5
1329328,"ME","white",1244002,1
6006401,"MD","white",3115032,3
6794422,"MA","white",4958598,3
9922576,"MI","white",7486419,6
5489594,"MN","white",4441640,5
2992333,"MS","white",1705044,5
6083672,"MO","white",4858768,11
1032949,"MT","white",894545,4
1896190,"NE","white",1518020,3
2890845,"NV","white",1460688,3
1330608,"NH","white",1210017,1
8958013,"NJ","white",5020807,3
2085109,"NM","white",798109,6
19795791,"NY","white",11050851,9
10042802,"NC","white",6387868,15
756928,"ND","white",650304,1
11613423,"OH","white",9255663,9
3911338,"OK","white",2597511,12
4028977,"OR","white",3082611,11
12802503,"PA","white",9890644,7
1056298,"RI","white",775163,0
4896146,"SC","white",3119807,10
858469,"SD","white",710681,3
6600299,"TN","white",4899807,14
27469114,"TX","white",11795062,30
2995919,"UT","white",2364160,7
626042,"VT","white",584851,2
8382993,"VA","white",5239479,8
7170351,"WA","white",4996873,9
1844128,"WV","white",1702065,5
5771337,"WI","white",4721683,11
586107,"WY","white",492659,1
4858979,"AL","black",1296681,7
738432,"AK","black",24739,0
6828065,"AZ","black",282718,2
2978204,"AR","black",466486,1
39144818,"CA","black",2192844,17
5456574,"CO","black",213389,1
3590886,"CT","black",355469,0
945934,"DE","black",200433,0
672228,"DC","black",312914,4
20271272,"FL","black",3145615,15
10214860,"GA","black",3159854,7
1431603,"HI","black",27530,0
1654930,"ID","black",8828,0
12859995,"IL","black",1813447,10
6619680,"IN","black",596275,3
3123899,"IA","black",104348,3
2911641,"KS","black",168293,1
4425092,"KY","black",351192,2
4670724,"LA","black",1491831,9
1329328,"ME","black",13854,0
6006401,"MD","black",1743829,7
6794422,"MA","black",459884,3
9922576,"MI","black",1363082,5
5489594,"MN","black",313157,3
2992333,"MS","black",1126326,3
6083672,"MO","black",704787,5
1032949,"MT","black",4289,0
1896190,"NE","black",88318,2
2890845,"NV","black",236568,2
1330608,"NH","black",18495,0
8958013,"NJ","black",1134226,5
2085109,"NM","black",41597,0
19795791,"NY","black",2845960,7
10042802,"NC","black",2141818,8
756928,"ND","black",15387,0
11613423,"OH","black",1409506,10
3911338,"OK","black",280826,6
4028977,"OR","black",73428,1
12802503,"PA","black",1349101,6
1056298,"RI","black",57364,1
4896146,"SC","black",1331987,2
858469,"SD","black",12807,0
6600299,"TN","black",1100868,3
27469114,"TX","black",3209454,15
2995919,"UT","black",32498,0
626042,"VT","black",7694,0
8382993,"VA","black",1583049,9
7170351,"WA","black",253220,2
1844128,"WV","black",69610,1
5771337,"WI","black",357021,6
586107,"WY","black",4704,0
4858979,"AL","native_american",19069,0
738432,"AK","native_american",98300,3
6828065,"AZ","native_american",276132,6
2978204,"AR","native_american",18221,0
39144818,"CA","native_american",135866,0
5456574,"CO","native_american",26239,0
3590886,"CT","native_american",4235,0
945934,"DE","native_american",2397,0
672228,"DC","native_american",959,0
20271272,"FL","native_american",33659,0
10214860,"GA","native_american",17727,0
1431603,"HI","native_american",2239,0
1654930,"ID","native_american",18837,0
12859995,"IL","native_american",13082,0
6619680,"IN","native_american",14075,0
3123899,"IA","native_american",8819,0
2911641,"KS","native_american",21208,0
4425092,"KY","native_american",7474,0
4670724,"LA","native_american",20825,0
1329328,"ME","native_american",8490,0
6006401,"MD","native_american",10346,0
6794422,"MA","native_american",7162,0
9922576,"MI","native_american",46056,0
5489594,"MN","native_american",50234,0
2992333,"MS","native_american",11359,0
6083672,"MO","native_american",22726,0
1032949,"MT","native_american",62709,0
1896190,"NE","native_american",14620,0
2890845,"NV","native_american",24442,0
1330608,"NH","native_american",1169,0
8958013,"NJ","native_american",7968,0
2085109,"NM","native_american",177529,0
19795791,"NY","native_american",40131,0
10042802,"NC","native_american",109502,0
756928,"ND","native_american",36789,0
11613423,"OH","native_american",15744,0
3911338,"OK","native_american",273042,0
4028977,"OR","native_american",37993,0
12802503,"PA","native_american",12314,1
1056298,"RI","native_american",3342,0
4896146,"SC","native_american",12190,0
858469,"SD","native_american",68201,2
6600299,"TN","native_american",17603,0
27469114,"TX","native_american",66303,0
2995919,"UT","native_american",29584,0
626042,"VT","native_american",2277,0
8382993,"VA","native_american",16415,0
7170351,"WA","native_american",82481,1
1844128,"WV","native_american",2076,0
5771337,"WI","native_american",47345,0
586107,"WY","native_american",12140,0
4858979,"AL","asian_pacificislander",61484,0
738432,"AK","asian_pacificislander",52094,0
6828065,"AZ","asian_pacificislander",220885,1
2978204,"AR","asian_pacificislander",49483,0
39144818,"CA","asian_pacificislander",5620366,4
5456574,"CO","asian_pacificislander",167083,0
3590886,"CT","asian_pacificislander",156078,0
945934,"DE","asian_pacificislander",36215,0
672228,"DC","asian_pacificislander",26000,0
20271272,"FL","asian_pacificislander",544005,1
10214860,"GA","asian_pacificislander",387569,1
1431603,"HI","asian_pacificislander",642871,3
1654930,"ID","asian_pacificislander",22090,0
12859995,"IL","asian_pacificislander",672786,0
6619680,"IN","asian_pacificislander",139706,0
3123899,"IA","asian_pacificislander",71155,0
2911641,"KS","asian_pacificislander",84192,0
4425092,"KY","asian_pacificislander",61979,0
4670724,"LA","asian_pacificislander",81452,0
1329328,"ME","asian_pacificislander",13655,0
6006401,"MD","asian_pacificislander",384932,0
6794422,"MA","asian_pacificislander",429272,0
9922576,"MI","asian_pacificislander",295533,0
5489594,"MN","asian_pacificislander",258579,1
2992333,"MS","asian_pacificislander",31277,0
6083672,"MO","asian_pacificislander",119434,0
1032949,"MT","asian_pacificislander",9677,0
1896190,"NE","asian_pacificislander",40361,0
2890845,"NV","asian_pacificislander",244530,0
1330608,"NH","asian_pacificislander",34028,0
8958013,"NJ","asian_pacificislander",844928,0
2085109,"NM","asian_pacificislander",28401,0
19795791,"NY","asian_pacificislander",1664696,0
10042802,"NC","asian_pacificislander",268971,1
756928,"ND","asian_pacificislander",10141,0
11613423,"OH","asian_pacificislander",235356,0
3911338,"OK","asian_pacificislander",81213,0
4028977,"OR","asian_pacificislander",175904,0
12802503,"PA","asian_pacificislander",419395,0
1056298,"RI","asian_pacificislander",35331,0
4896146,"SC","asian_pacificislander",73324,0
858469,"SD","asian_pacificislander",12613,0
6600299,"TN","asian_pacificislander",109110,1
27469114,"TX","asian_pacificislander",1255095,0
2995919,"UT","asian_pacificislander",91776,0
626042,"VT","asian_pacificislander",8909,0
8382993,"VA","asian_pacificislander",524967,0
7170351,"WA","asian_pacificislander",609280,0
1844128,"WV","asian_pacificislander",14557,0
5771337,"WI","asian_pacificislander",156109,0
586107,"WY","asian_pacificislander",5122,0
4858979,"AL","unknown",5590,1
738432,"AK","unknown",2201,1
6828065,"AZ","unknown",6951,5
2978204,"AR","unknown",3826,1
39144818,"CA","unknown",87813,10
5456574,"CO","unknown",13900,6
3590886,"CT","unknown",9375,1
945934,"DE","unknown",3242,0
672228,"DC","unknown",2976,0
20271272,"FL","unknown",57413,5
10214860,"GA","unknown",31433,0
1431603,"HI","unknown",1694,1
1654930,"ID","unknown",468,0
12859995,"IL","unknown",17864,1
6619680,"IN","unknown",7004,0
3123899,"IA","unknown",3287,0
2911641,"KS","unknown",1472,0
4425092,"KY","unknown",3835,1
4670724,"LA","unknown",9901,1
1329328,"ME","unknown",423,0
6006401,"MD","unknown",20457,0
6794422,"MA","unknown",49348,0
9922576,"MI","unknown",15331,0
5489594,"MN","unknown",6325,0
2992333,"MS","unknown",1686,0
6083672,"MO","unknown",4647,2
1032949,"MT","unknown",141,0
1896190,"NE","unknown",2254,1
2890845,"NV","unknown",6922,0
1330608,"NH","unknown",1204,0
8958013,"NJ","unknown",32153,1
2085109,"NM","unknown",3593,1
19795791,"NY","unknown",111653,2
10042802,"NC","unknown",22054,1
756928,"ND","unknown",434,0
11613423,"OH","unknown",14978,1
3911338,"OK","unknown",5125,0
4028977,"OR","unknown",3090,0
12802503,"PA","unknown",21208,0
1056298,"RI","unknown",6679,0
4896146,"SC","unknown",6193,0
858469,"SD","unknown",1723,0
6600299,"TN","unknown",11869,1
27469114,"TX","unknown",36412,1
2995919,"UT","unknown",2781,0
626042,"VT","unknown",950,0
8382993,"VA","unknown",23466,1
7170351,"WA","unknown",9933,3
1844128,"WV","unknown",1489,2
5771337,"WI","unknown",4447,1
586107,"WY","unknown",96,1
4858979,"AL","hispanic_latino",192870,0
738432,"AK","hispanic_latino",51825,0
6828065,"AZ","hispanic_latino",2098411,11
2978204,"AR","hispanic_latino",207743,1
39144818,"CA","hispanic_latino",15184545,48
5456574,"CO","hispanic_latino",1164278,5
3590886,"CT","hispanic_latino",553783,1
945934,"DE","hispanic_latino",85306,0
672228,"DC","hispanic_latino",71129,0
20271272,"FL","hispanic_latino",4962905,6
10214860,"GA","hispanic_latino",950093,3
1431603,"HI","hispanic_latino",148705,0
1654930,"ID","hispanic_latino",199840,1
12859995,"IL","hispanic_latino",2171988,1
6619680,"IN","hispanic_latino",439094,1
3123899,"IA","hispanic_latino",174318,0
2911641,"KS","hispanic_latino",336321,0
4425092,"KY","hispanic_latino",146127,1
4670724,"LA","hispanic_latino",228578,0
1329328,"ME","hispanic_latino",20152,0
6006401,"MD","hispanic_latino",572263,0
6794422,"MA","hispanic_latino",757948,3
9922576,"MI","hispanic_latino",485972,1
5489594,"MN","hispanic_latino",282040,1
2992333,"MS","hispanic_latino",85758,0
6083672,"MO","hispanic_latino",240413,0
1032949,"MT","hispanic_latino",37302,0
1896190,"NE","hispanic_latino",196968,0
2890845,"NV","hispanic_latino",813394,5
1330608,"NH","hispanic_latino",44355,0
8958013,"NJ","hispanic_latino",1762179,0
2085109,"NM","hispanic_latino",1001264,14
19795791,"NY","hispanic_latino",3725193,1
10042802,"NC","hispanic_latino",911674,1
756928,"ND","hispanic_latino",26059,0
11613423,"OH","hispanic_latino",411202,0
3911338,"OK","hispanic_latino",396464,1
4028977,"OR","hispanic_latino",511898,0
12802503,"PA","hispanic_latino",870209,0
1056298,"RI","hispanic_latino",152085,1
4896146,"SC","hispanic_latino",262555,0
858469,"SD","hispanic_latino",30079,0
6600299,"TN","hispanic_latino",333460,1
27469114,"TX","hispanic_latino",10672216,18
2995919,"UT","hispanic_latino",409310,0
626042,"VT","hispanic_latino",10422,0
8382993,"VA","hispanic_latino",753353,1
7170351,"WA","hispanic_latino",886419,3
1844128,"WV","hispanic_latino",26663,0
5771337,"WI","hispanic_latino",381149,0
586107,"WY","hispanic_latino",57845,0
