island,winglength,taillength,beakwidth,beakheight,lowerbeaklength,upperbeaklength,tarsuslength,middletoelength
santacruz,63.5,40,9,11,9,16,20,18.5
santacruz,69.5,41,9,12,8.5,16,21.2,19.5
santacruz,70,44,9.2,12,8.5,16,21,18.6
santacruz,70,43.5,9.2,11.2,8.5,16.2,20.5,19
santacruz,70.5,42,9.5,12,8.5,16.5,22,19.2
santacruz,66,41,10,12.2,9.2,17,22,18
santacruz,68,40,8.5,12,8.5,17,22,17.8
santacruz,68.5,43.5,10.2,13,9.2,17,22,19.2
santacruz,68.5,40,10,12.5,9,17.5,22,20
santacruz,72,44.5,10.8,13,9.2,17.5,21.2,19
santacruz,74.2,46,12,15,9.5,18,22.5,20.5
santacruz,76,44.5,11,14.2,9.5,18.5,23,20.5
santacruz,77,47,12,15.5,10,19,23.5,21
santacruz,76,44.5,11.2,15,10,19.5,22.5,20.5
santacruz,79,47,12.5,16.5,11,19.5,24.5,20
sancristobal,70,47,9.5,12.5,9,16.5,21,19.5
sancristobal,68,40,9.5,11.8,9,17,21,18.2
sancristobal,69.2,41.2,11,13,9,17,22,19.2
sancristobal,71.5,44,9.5,12,9.5,17,21.5,19.5
sancristobal,71.5,45.5,10,13,9.2,17,23,21
sancristobal,72,45.5,10,13.5,9,17,21,18
sancristobal,72.5,43,10.2,13.2,10,17,22.5,20
sancristobal,72.5,44.5,11,13.5,9,17,22,19
sancristobal,73,44,10.5,13,9.2,17,22,19
sancristobal,73,45.5,11,14,9.2,17,23.2,19
sancristobal,74,44,10,12.2,9.2,17,21.2,19.5
sancristobal,74.5,46,12,14.5,9.2,17,22.2,18.5
sancristobal,70.5,41,11,14,9,17.2,22.5,18
sancristobal,74.5,46.8,11,15.2,9,17.2,22.2,18.5
sancristobal,70,45,9.5,12.5,9.5,17.5,22.2,20
sancristobal,72,46,11,13.5,9.5,17.5,21.5,19
sancristobal,72.8,44,10.2,13.2,9.5,17.5,21.5,18.5
sancristobal,74.2,47,12,15,10,17.8,23,21
sancristobal,72.5,47,11.5,15.5,10,18,22.2,20
sancristobal,75.2,44.8,11.5,14,9.5,18,23,19.5
sancristobal,76,44.8,11.2,14,10,18,22,19.5
sancristobal,72.2,46,12,14.8,9.8,18.5,23,19
sancristobal,76,45.5,12.2,14.2,10,18.5,23.2,19.2
sancristobal,74,46.5,12.5,16.2,10,19,23.2,19
sancristobal,75.2,45.5,11.5,14.8,10,19,22.5,20
sancristobal,70,45.5,11,14.5,10.5,19.5,22,20
floreana,73,43,9,11,7.5,14,20,18.5
floreana,68.5,44,9,11,8.5,15,21,18.5
floreana,70,44.5,8.2,11,8.2,15,21,17.2
floreana,71,42,8.5,11.2,8.2,15,22,18
floreana,71,44,9,11.5,8.5,15,20.2,19
floreana,72,44.5,9,11,8.2,15,20,18.2
floreana,73,43.5,9.5,11.5,9,15,22,19
floreana,68,41,8.5,11.2,8.2,15.5,22,18.5
floreana,70.5,40,9,11,8.5,15.5,21.5,17.2
floreana,72.5,45.5,9.5,12,9,15.5,22,19
floreana,70,45,9.8,12,8.5,16,21,19
floreana,71.2,41.5,9.5,12.2,8.8,16,22.2,18.5
floreana,70.2,43,9.8,11.8,9.2,17,22.5,19.5
floreana,74,44.2,10,13,10,17.5,24,20
floreana,75.5,44.5,11,14.5,10,17.5,23,20
floreana,75,46.5,11.5,13,10,17.8,23,20.2
floreana,73.5,44,10.5,14.2,10.5,18,23,19.5
floreana,74,48.5,11.2,14,10,18,22.2,20.2
floreana,74,48.5,12,15,10.2,18.2,24,19
floreana,73.2,48.5,11,15,10.5,19,23,20
floreana,74.5,42,11.8,15,10,19.8,23,20.5
floreana,75.2,47,11.2,14,10,19.8,23.5,21
floreana,78,48,12,16,11,20.2,23,21.5
floreana,68,42.5,9.5,11.5,9.8,18.5,21.5,19.8
sancristobal,58,35,5.5,5.5,6,9,21,16.5
floreana,59,40,5,5.2,6.2,10,20,15
floreana,58.2,38.5,5,5.8,6,9.5,21,17
