site,pop,sex,age,headL,skullW,totalL,tailL
1,vic,m,8,94.1,60.4,89.0,36.0
1,vic,f,6,92.5,57.6,91.5,36.5
1,vic,f,6,94.0,60.0,95.5,39.0
1,vic,f,6,93.2,57.1,92.0,38.0
1,vic,f,2,91.5,56.3,85.5,36.0
1,vic,f,1,93.1,54.8,90.5,35.5
1,vic,m,2,95.3,58.2,89.5,36.0
1,vic,f,6,94.8,57.6,91.0,37.0
1,vic,f,9,93.4,56.3,91.5,37.0
1,vic,f,6,91.8,58.0,89.5,37.5
1,vic,f,9,93.3,57.2,89.5,39.0
1,vic,f,5,94.9,55.6,92.0,35.5
1,vic,m,5,95.1,59.9,89.5,36.0
1,vic,m,3,95.4,57.6,91.5,36.0
1,vic,m,5,92.9,57.6,85.5,34.0
1,vic,m,4,91.6,56.0,86.0,34.5
1,vic,f,1,94.7,67.7,89.5,36.5
1,vic,m,2,93.5,55.7,90.0,36.0
1,vic,f,5,94.4,55.4,90.5,35.0
1,vic,f,4,94.8,56.3,89.0,38.0
1,vic,f,3,95.9,58.1,96.5,39.5
1,vic,m,3,96.3,58.5,91.0,39.5
1,vic,f,4,92.5,56.1,89.0,36.0
1,vic,m,2,94.4,54.9,84.0,34.0
1,vic,m,3,95.8,58.5,91.5,35.5
1,vic,m,7,96.0,59.0,90.0,36.0
1,vic,f,2,90.5,54.5,85.0,35.0
1,vic,m,4,93.8,56.8,87.0,34.5
1,vic,f,3,92.8,56.0,88.0,35.0
1,vic,f,2,92.1,54.4,84.0,33.5
1,vic,m,3,92.8,54.1,93.0,37.0
1,vic,f,4,94.3,56.7,94.0,39.0
1,vic,m,3,91.4,54.6,89.0,37.0
2,vic,m,2,90.6,55.7,85.5,36.5
2,vic,m,4,94.4,57.9,85.0,35.5
2,vic,m,7,93.3,59.3,88.0,35.0
2,vic,f,2,89.3,54.8,82.5,35.0
2,vic,m,7,92.4,56.0,80.5,35.5
2,vic,f,1,84.7,51.5,75.0,34.0
2,vic,f,3,91.0,55.0,84.5,36.0
2,vic,f,5,88.4,57.0,83.0,36.5
2,vic,m,3,85.3,54.1,77.0,32.0
2,vic,f,2,90.0,55.5,81.0,32.0
2,vic,m,NA,85.1,51.5,76.0,35.5
2,vic,m,3,90.7,55.9,81.0,34.0
2,vic,m,NA,91.4,54.4,84.0,35.0
3,other,m,2,90.1,54.8,89.0,37.5
3,other,m,5,98.6,63.2,85.0,34.0
3,other,m,4,95.4,59.2,85.0,37.0
3,other,f,5,91.6,56.4,88.0,38.0
3,other,f,5,95.6,59.6,85.0,36.0
3,other,m,6,97.6,61.0,93.5,40.0
3,other,f,3,93.1,58.1,91.0,38.0
4,other,m,7,96.9,63.0,91.5,43.0
4,other,m,2,103.1,63.2,92.5,38.0
4,other,m,3,99.9,61.5,93.7,38.0
4,other,f,4,95.1,59.4,93.0,41.0
4,other,m,3,94.5,64.2,91.0,39.0
4,other,m,2,102.5,62.8,96.0,40.0
4,other,f,2,91.3,57.7,88.0,39.0
5,other,m,7,95.7,59.0,86.0,38.0
5,other,f,3,91.3,58.0,90.5,39.0
5,other,f,6,92.0,56.4,88.5,38.0
5,other,f,3,96.9,56.5,89.5,38.5
5,other,f,5,93.5,57.4,88.5,38.0
5,other,f,3,90.4,55.8,86.0,36.5
5,other,m,4,93.3,57.6,85.0,36.5
5,other,m,5,94.1,56.0,88.5,38.0
5,other,m,5,98.0,55.6,88.0,37.5
5,other,f,7,91.9,56.4,87.0,38.0
5,other,m,6,92.8,57.6,90.0,40.0
5,other,m,1,85.9,52.4,80.5,35.0
5,other,m,1,82.5,52.3,82.0,36.5
6,other,f,4,88.7,52.0,83.0,38.0
6,other,m,6,93.8,58.1,89.0,38.0
6,other,m,5,92.4,56.8,89.0,41.0
6,other,m,6,93.6,56.2,84.0,36.0
6,other,m,1,86.5,51.0,81.0,36.5
6,other,m,1,85.8,50.0,81.0,36.5
6,other,m,1,86.7,52.6,84.0,38.0
6,other,m,3,90.6,56.0,85.5,38.0
6,other,f,4,86.0,54.0,82.0,36.5
6,other,f,3,90.0,53.8,81.5,36.0
6,other,m,3,88.4,54.6,80.5,36.0
6,other,m,3,89.5,56.2,92.0,40.5
6,other,f,3,88.2,53.2,86.5,38.5
7,other,m,2,98.5,60.7,93.0,41.5
7,other,f,2,89.6,58.0,87.5,38.0
7,other,m,6,97.7,58.4,84.5,35.0
7,other,m,3,92.6,54.6,85.0,38.5
7,other,m,3,97.8,59.6,89.0,38.0
7,other,m,2,90.7,56.3,85.0,37.0
7,other,m,3,89.2,54.0,82.0,38.0
7,other,m,7,91.8,57.6,84.0,35.5
7,other,m,4,91.6,56.6,88.5,37.5
7,other,m,4,94.8,55.7,83.0,38.0
7,other,m,3,91.0,53.1,86.0,38.0
7,other,m,5,93.2,68.6,84.0,35.0
7,other,f,3,93.3,56.2,86.5,38.5
7,other,m,1,89.5,56.0,81.5,36.5
7,other,m,1,88.6,54.7,82.5,39.0
7,other,f,6,92.4,55.0,89.0,38.0
7,other,m,4,91.5,55.2,82.5,36.5
7,other,f,3,93.6,59.9,89.0,40.0
